participantId,group,posterior
human_1d1f4cf9-e5f0-4ef5-8d74-ab6b134f25eb_player1,Human-Human,0.7064479510777425
human_1d1f4cf9-e5f0-4ef5-8d74-ab6b134f25eb_player2,Human-Human,0.7660259607896821
human_2ed9e54f-be52-49b9-a758-abb5f5ef5150_player1,Human-Human,0.8547391366377343
human_2ed9e54f-be52-49b9-a758-abb5f5ef5150_player2,Human-Human,0.8249205185364219
human_31e13002-490a-484d-a0f6-1781673d477a_player1,Human-Human,0.8904982675472978
human_31e13002-490a-484d-a0f6-1781673d477a_player2,Human-Human,0.9027717780257473
human_6558f174-56b6-4592-b53b-bf9ff8c7f3ca_player1,Human-Human,0.6938879854073292
human_6558f174-56b6-4592-b53b-bf9ff8c7f3ca_player2,Human-Human,0.8943915765718597
human_6b3ca33d-6a91-4de7-aaef-b55bcb13d712_player1,Human-Human,0.7226218879397933
human_6b3ca33d-6a91-4de7-aaef-b55bcb13d712_player2,Human-Human,0.716753596315283
human_74ea1778-cc30-4c70-92fe-ee112edef228_player1,Human-Human,0.6849940350056855
human_74ea1778-cc30-4c70-92fe-ee112edef228_player2,Human-Human,0.6919375153841454
human_975b16bb-4262-4523-94e3-02521faeb953_player1,Human-Human,0.7322160423401628
human_975b16bb-4262-4523-94e3-02521faeb953_player2,Human-Human,0.7325912810944099
human_9efbe63f-05a0-4f24-b469-a246d7732c10_player1,Human-Human,0.500315852408757
human_9efbe63f-05a0-4f24-b469-a246d7732c10_player2,Human-Human,0.5236904068836873
human_a5a659ea-c541-4c54-9bad-d736222acbb9_player1,Human-Human,0.8324211851106377
human_a5a659ea-c541-4c54-9bad-d736222acbb9_player2,Human-Human,0.8941322418992527
human_a9a91c71-c38b-4e78-9be4-3c2f5c450004_player1,Human-Human,0.8397810244549248
human_a9a91c71-c38b-4e78-9be4-3c2f5c450004_player2,Human-Human,0.6643838108501658
human_b40d6c2e-46aa-4680-8f62-ef715fd65b79_player1,Human-Human,0.8279204342976518
human_b40d6c2e-46aa-4680-8f62-ef715fd65b79_player2,Human-Human,0.8577869710523244
human_bf70b991-4d12-4b4f-9ce5-57687e7d0c35_player1,Human-Human,0.7337322641838704
human_bf70b991-4d12-4b4f-9ce5-57687e7d0c35_player2,Human-Human,0.710220465613674
human_c252dec7-11a7-48c1-9696-691e0511cbc2_player1,Human-Human,0.7240890175229904
human_c252dec7-11a7-48c1-9696-691e0511cbc2_player2,Human-Human,0.8236653554347487
human_c70d7765-1724-49bf-9fed-d8647822e9f2_player1,Human-Human,0.8543943780098272
